# Origin	Destination	menuOption menuTarget objectID	Skills	Quests	Varbits	Duration	Display info
# Tree Gnome Village							
2543 3167 0		Travel;Spirit Tree;1293		Tree Gnome Village		10	
2544 3167 0		Travel;Spirit Tree;1293		Tree Gnome Village		10	
2545 3167 0		Travel;Spirit Tree;1293		Tree Gnome Village		10	
2546 3167 0		Travel;Spirit Tree;1293		Tree Gnome Village		10	
2547 3169 0		Travel;Spirit Tree;1293		Tree Gnome Village		10	
2547 3170 0		Travel;Spirit Tree;1293		Tree Gnome Village		10	
2547 3171 0		Travel;Spirit Tree;1293		Tree Gnome Village		10	
2546 3172 0		Travel;Spirit Tree;1293		Tree Gnome Village		10	
2545 3172 0		Travel;Spirit Tree;1293		Tree Gnome Village		10	
2544 3172 0		Travel;Spirit Tree;1293		Tree Gnome Village		10	
2543 3172 0		Travel;Spirit Tree;1293		Tree Gnome Village		10	
2542 3171 0		Travel;Spirit Tree;1293		Tree Gnome Village		10	
2542 3170 0		Travel;Spirit Tree;1293		Tree Gnome Village		10	
2542 3169 0		Travel;Spirit Tree;1293		Tree Gnome Village		10	
2542 3168 0		Travel;Spirit Tree;1293		Tree Gnome Village		10	
# Gnome Stronghold							
2460 3444 0		Travel;Spirit Tree;1294		The Grand Tree		10	
2461 3444 0		Travel;Spirit Tree;1294		The Grand Tree		10	
2462 3444 0		Travel;Spirit Tree;1294		The Grand Tree		10	
2463 3444 0		Travel;Spirit Tree;1294		The Grand Tree		10	
2464 3446 0		Travel;Spirit Tree;1294		The Grand Tree		10	
2464 3447 0		Travel;Spirit Tree;1294		The Grand Tree		10	
2464 3448 0		Travel;Spirit Tree;1294		The Grand Tree		10	
2463 3449 0		Travel;Spirit Tree;1294		The Grand Tree		10	
2462 3449 0		Travel;Spirit Tree;1294		The Grand Tree		10	
2461 3449 0		Travel;Spirit Tree;1294		The Grand Tree		10	
2460 3449 0		Travel;Spirit Tree;1294		The Grand Tree		10	
2459 3448 0		Travel;Spirit Tree;1294		The Grand Tree		10	
2459 3446 0		Travel;Spirit Tree;1294		The Grand Tree		10	
2459 3445 0		Travel;Spirit Tree;1294		The Grand Tree		10	
# Battlefield of Khazard							
2555 3259 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
2556 3259 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
2557 3260 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
2557 3261 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
2556 3262 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
2555 3262 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
2554 3261 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
2554 3260 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
# Grand Exchange							
3184 3508 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
3185 3508 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
3186 3509 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
3186 3510 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
3184 3511 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
3185 3511 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
3183 3509 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
3183 3510 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
# Feldip Hills							
2486 2849 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
2487 2849 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
2488 2850 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
2488 2851 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
2487 2852 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
2486 2852 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
2485 2851 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
2485 2850 0		Travel;Spirit Tree;1295		Tree Gnome Village;The Grand Tree		10	
# Prifddinas							
3274 6123 0		Travel;Spirit Tree;37329		Tree Gnome Village;The Grand Tree;Song of the Elves		10	
3275 6123 0		Travel;Spirit Tree;37329		Tree Gnome Village;The Grand Tree;Song of the Elves		10	
3276 6124 0		Travel;Spirit Tree;37329		Tree Gnome Village;The Grand Tree;Song of the Elves		10	
3276 6125 0		Travel;Spirit Tree;37329		Tree Gnome Village;The Grand Tree;Song of the Elves		10	
3275 6126 0		Travel;Spirit Tree;37329		Tree Gnome Village;The Grand Tree;Song of the Elves		10	
3273 6125 0		Travel;Spirit Tree;37329		Tree Gnome Village;The Grand Tree;Song of the Elves		10	
3273 6124 0		Travel;Spirit Tree;37329		Tree Gnome Village;The Grand Tree;Song of the Elves		10	
# Port Sarim							
3058 3257 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
3058 3258 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
3058 3259 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
3059 3260 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
3060 3260 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
3061 3260 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
3062 3259 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
3062 3258 0		Travel;Spirit Tree;8355		Tree Gnome Village;The Grand Tree		10
